653	591	684	446	754	388	503	984	21	1	4	1	1	0
583	503	605	384	683	309	497	959	21	1	4	1	1	0
557	462	574	353	645	264	497	937	21	1	4	1	1	0
587	510	595	388	681	309	497	954	21	1	4	1	1	0
674	611	681	483	788	426	508	1009	21	1	4	1	1	0
736	660	731	537	840	479	509	1008	21	1	4	1	1	0
808	754	796	616	927	562	511	1018	21	1	4	1	1	0
863	832	857	691	1010	648	510	1032	21	1	4	1	1	0
931	898	921	760	1082	743	516	1049	21	1	4	1	1	0
974	952	960	799	1134	800	516	1035	21	1	4	1	1	0
1034	1028	1016	874	1203	863	523	1039	21	1	4	1	1	0
1018	1009	993	856	1176	842	524	1024	21	1	4	1	1	0
942	921	922	764	1065	746	519	994	21	1	4	1	1	0
861	839	849	685	970	650	512	971	21	1	4	1	1	0
807	756	789	625	891	564	509	941	21	1	4	1	1	0
743	663	713	560	805	459	508	929	21	1	4	1	1	0
672	569	644	489	727	342	500	902	21	1	4	1	1	0
645	528	607	451	687	278	501	899	21	1	4	1	1	0
584	482	552	387	631	211	495	899	21	1	4	1	1	0
579	493	578	388	635	209	490	912	21	1	4	1	1	0
640	544	634	449	714	277	482	912	21	1	4	1	1	0
730	615	708	539	825	381	489	934	21	1	4	1	1	0
761	673	770	586	871	449	491	947	21	1	4	1	1	0
836	781	867	655	949	549	494	971	21	1	4	1	1	0
900	837	908	716	1030	629	497	973	21	1	4	1	1	0
942	859	945	775	1112	711	506	989	21	1	4	1	1	0
976	883	989	813	1143	750	508	980	21	1	4	1	1	0
997	944	991	841	1163	777	516	996	21	1	4	1	1	0
949	924	925	799	1139	756	515	1018	21	1	4	1	1	0
889	829	858	736	1090	699	506	1020	21	1	4	1	1	0
826	735	784	662	1004	603	501	1012	21	1	4	1	1	0
765	664	704	601	910	512	500	1000	21	1	4	1	1	0
721	580	640	561	873	457	500	1013	21	1	4	1	1	0
660	474	589	496	806	366	496	984	21	1	4	1	1	0
607	423	550	443	727	299	496	954	21	1	4	1	1	0
585	373	521	423	686	276	485	932	21	1	4	1	1	0
658	421	582	502	765	347	490	968	21	1	4	1	1	0
728	507	658	566	832	409	495	984	21	1	4	1	1	0
816	589	748	647	900	493	504	991	21	1	4	1	1	0
871	628	805	710	959	568	502	996	21	1	4	1	1	0
952	697	888	776	1038	660	501	1023	21	1	4	1	1	0
996	753	924	807	1103	721	498	1029	21	1	4	1	1	0
1034	824	984	859	1179	793	497	1050	21	1	4	1	1	0
1038	850	1007	874	1197	813	496	1056	21	1	4	1	1	0
1004	804	967	816	1176	771	495	1054	21	1	4	1	1	0
922	711	894	706	1101	671	490	1042	21	1	4	1	1	0
830	639	828	615	1000	568	481	1013	21	1	4	1	1	0
753	555	765	548	903	466	476	981	21	1	4	1	1	0
680	467	698	477	824	370	471	944	21	1	4	1	1	0
622	411	644	417	754	290	466	937	21	1	4	1	1	0
548	326	567	355	661	187	459	912	21	1	4	1	1	0
526	306	556	337	656	171	461	903	21	1	4	1	1	0
564	365	602	365	703	221	461	911	21	1	4	1	1	0
648	453	675	452	787	311	468	950	21	1	4	1	1	0
706	484	736	524	847	376	469	945	21	1	4	1	1	0
803	600	831	629	967	511	474	963	21	1	4	1	1	0
870	710	883	694	1046	608	472	980	21	1	4	1	1	0
920	777	942	744	1080	664	479	980	21	1	4	1	1	0
960	811	989	780	1118	710	479	952	21	1	4	1	1	0
1014	842	1024	826	1168	771	480	967	21	1	4	1	1	0
975	808	991	796	1131	742	481	967	21	1	4	1	1	0
905	730	944	724	1047	649	482	943	21	1	4	1	1	0
857	637	875	658	975	565	476	934	21	1	4	1	1	0
799	558	805	584	897	479	467	923	21	1	4	1	1	0
739	502	755	524	831	387	471	929	21	1	4	1	1	0
686	423	693	478	797	310	472	925	21	1	4	1	1	0
644	361	645	440	754	253	470	921	21	1	4	1	1	0
582	320	601	377	677	175	460	900	21	1	4	1	1	0
604	349	621	398	694	182	463	913	21	1	4	1	1	0
661	401	660	466	771	261	463	929	21	1	4	1	1	0
732	489	738	545	875	377	468	965	21	1	4	1	1	0
786	551	794	602	927	460	470	982	21	1	4	1	1	0
868	636	856	690	1012	577	478	1009	21	1	4	1	1	0
915	685	887	744	1081	649	478	1011	21	1	4	1	1	0
975	764	942	815	1169	740	478	1028	21	1	4	1	1	0
1017	820	984	863	1215	800	478	1033	21	1	4	1	1	0
1018	813	979	875	1208	796	479	1040	21	1	4	1	1	0
944	721	894	813	1133	709	471	1026	21	1	4	1	1	0
867	626	816	735	1042	614	462	993	21	1	4	1	1	0
788	548	750	651	963	528	461	976	21	1	4	1	1	0
714	460	677	574	876	428	456	951	21	1	4	1	1	0
676	393	622	536	815	366	459	957	21	1	4	1	1	0
625	316	568	485	737	290	458	938	21	1	4	1	1	0
593	276	529	457	683	226	460	912	21	1	4	1	1	0
587	260	513	442	673	203	458	899	21	1	4	1	1	0
664	320	598	504	744	271	464	938	21	1	4	1	1	0
731	382	688	568	808	335	467	948	21	1	4	1	1	0
818	469	773	653	895	426	475	956	21	1	4	1	1	0
861	525	815	696	952	490	471	967	21	1	4	1	1	0
896	589	883	739	1016	557	464	983	21	1	4	1	1	0
935	659	932	788	1088	638	459	972	21	1	4	1	1	0
1001	739	978	853	1176	730	464	983	21	1	4	1	1	0
1000	746	969	862	1174	722	463	981	21	1	4	1	1	0
939	709	919	819	1117	662	460	971	21	1	4	1	1	0
862	625	848	741	1042	570	460	951	21	1	4	1	1	0
786	538	772	661	961	472	461	936	21	1	4	1	1	0
719	490	707	591	880	401	455	942	21	1	4	1	1	0
666	437	657	531	810	343	455	928	21	1	4	1	1	0
608	377	598	479	772	296	461	934	21	1	4	1	1	0
556	327	527	428	713	231	449	931	21	1	4	1	1	0
575	344	536	432	711	215	449	930	21	1	4	1	1	0
605	371	577	465	750	243	460	921	21	1	4	1	1	0
